temperature;pressure [Pa];uptake [mol/g];min pressure [Pa];max pressure [Pa];min uptake [mol/g];max uptake [mol/g];langmuir K;langmuir qsat;langmuir K error;langmuir qsat error;sips_K
23;[4.4, 5.7, 7.4, 9.8, 12.5, 16.9, 23.4, 33.6];[0.001141, 0.001266, 0.001359, 0.001469, 0.001578, 0.001672, 0.001797, 0.001891];4.4;33.6;0.001141;0.001891;0.264579169;0.002073955;552.8138586;1.103424293;0.326320423
23;[50.4, 75.4, 115.3, 169.2, 243.5, 336.4, 446.3, 580.4, 710.3, 851.9, 961.7, 1085.6, 1250.5, 1328.7, 1469.9, 1659.3, 1763.0, 1911.3, 2030.7, 2201.7, 2435.7, 2694.6, 2805.6, 2981.0];[0.002, 0.002109, 0.002188, 0.002281, 0.002375, 0.002469, 0.002516, 0.002609, 0.002672, 0.002766, 0.002828, 0.002891, 0.002953, 0.003016, 0.003094, 0.003156, 0.003219, 0.003312, 0.003344, 0.003453, 0.003547, 0.003656, 0.00375, 0.003875];50.4;2981;0.002;0.003875;0.015688523;0.003311402;11.11407963;0.298270242;9.45E-05
23;[3231.8, 3433.8, 3955.4, 4202.5, 4288.3, 4556.2, 4840.9, 4939.7, 5248.3, 5464.7, 5924.6, 6168.9, 6688.1, 6963.8, 7251.0, 7704.0, 8185.3, 8352.4];[0.003969, 0.004094, 0.004266, 0.004375, 0.004453, 0.004562, 0.004672, 0.004781, 0.004875, 0.004953, 0.005141, 0.005297, 0.005437, 0.005641, 0.005781, 0.005922, 0.006094, 0.00625];3231.8;8352.4;0.003969;0.00625;0.000192984;0.009845044;0.134199915;3.25328675;1.00E-06
23;[8874.3, 9240.1, 9817.5, 10017.8, 0.3, 0.5, 0.8, 1.2, 2.0, 2.5, 3.1, 3.6, 4.4, 5.0, 5.9, 7.0, 8.0, 9.4, 10.6, 12.0];[0.006406, 0.006578, 0.006703, 0.006906, 0.000188, 0.000234, 0.000297, 0.000359, 0.000406, 0.000453, 0.0005, 0.000562, 0.000641, 0.000672, 0.000734, 0.000781, 0.000844, 0.000891, 0.000953, 0.001016];0.3;10017.8;0.000188;0.006906;0.018502888;0.00668408;8.621725112;0.506454295;0.036853901
24;[14.1, 16.2, 18.3, 20.7, 23.8, 27.5, 32.3, 36.5, 42.8, 50.4, 60.4, 71.0, 85.2, 125.0, 183.5, 264.0, 372.1, 503.8, 655.1, 818.2, 1042.6, 1250.5, 1328.7, 1561.7, 1763.0, 1990.1, 2246.6, 2339.2, 2640.7, 2921.3, 3041.8, 3231.8, 3433.8];[0.001063, 0.001125, 0.001172, 0.001234, 0.001297, 0.001344, 0.001406, 0.001469, 0.001531, 0.001578, 0.001641, 0.001703, 0.00175, 0.001844, 0.001937, 0.002047, 0.002125, 0.002203, 0.002281, 0.002344, 0.002391, 0.002453, 0.002484, 0.002531, 0.002578, 0.002641, 0.002687, 0.002719, 0.002781, 0.002812, 0.002859, 0.002922, 0.002953];14.1;3433.8;0.001063;0.002953;0.034237291;0.002597142;18.04885875;0.25303106;0.161447075
24;[3798.7, 3955.4, 4118.4, 4465.1, 4744.1, 5040.4, 5464.7, 5576.2, 5806.1, 6045.5, 6294.7, 6824.5, 7251.0, 7861.2, 8021.7, 8522.9, 8874.3, 9428.8, 9817.5, 10430.9, 10643.8, 11082.6, 11539.6, 12015.3, 12260.5, 12510.7, 13026.6, 13292.4, 13840.4, 14123.0, 14411.2, 14705.3, 15311.5, 15624.1, 16268.2, 16600.2, 16938.9];[0.002984, 0.003078, 0.003125, 0.003187, 0.003219, 0.003312, 0.003359, 0.003391, 0.003453, 0.003531, 0.003594, 0.003687, 0.003781, 0.003891, 0.003953, 0.004, 0.004094, 0.004234, 0.004328, 0.004437, 0.0045, 0.004562, 0.004641, 0.004719, 0.004781, 0.004875, 0.004938, 0.005, 0.005063, 0.005094, 0.005156, 0.00525, 0.005328, 0.005484, 0.005578, 0.005781, 0.005687];3798.7;16938.9;0.002984;0.005781;0.000142936;0.007665617;0.056522764;1.246003111;1.00E-06
24;[17997.4, 18739.3, 1.8, 4.0, 6.4, 9.4, 12.5, 16.6, 21.1, 25.3, 31.6, 40.3, 50.4, 62.9, 78.5, 117.6, 153.0, 248.4, 395.4, 616.6, 887.0, 1225.5, 1530.5, 1911.3, 2292.4, 2640.7, 3167.2];[0.005922, 0.006, 0.000203, 0.000297, 0.000391, 0.0005, 0.000578, 0.000672, 0.000766, 0.000875, 0.000953, 0.001047, 0.001141, 0.001219, 0.001313, 0.0015, 0.001578, 0.001734, 0.001891, 0.002, 0.002109, 0.002172, 0.002266, 0.002328, 0.002391, 0.002422, 0.002484];1.8;18739.3;0.000203;0.006;0.000426534;0.006177357;0.174136498;0.989612232;2.51E-05
27;[3575.4, 4036.1, 4465.1, 4840.9, 5248.3, 5806.1, 6168.9, 6688.1, 6963.8, 7549.9, 8021.7, 8352.4, 8696.8, 9055.3, 10017.8, 10222.2, 10643.8, 11082.6, 11775.1, 12766.1, 13563.7, 14411.2, 15005.3, 16268.2];[0.002547, 0.002578, 0.002641, 0.002672, 0.002703, 0.00275, 0.002797, 0.002828, 0.002891, 0.002953, 0.002969, 0.003, 0.003031, 0.003063, 0.003141, 0.003172, 0.003203, 0.00325, 0.003297, 0.003391, 0.003453, 0.003531, 0.003625, 0.003734];3575.4;16268.2;0.002547;0.003734;0.000376923;0.004076019;0.339329291;0.905398402;1.00E-06
27;[17637.5, 18739.3, 20316.5, 21586.0, 22475.9, 23880.1, 25372.0, 26418.0, 27507.1, 28641.2];[0.003859, 0.003969, 0.004063, 0.004156, 0.004281, 0.004391, 0.004484, 0.004609, 0.004703, 0.004797];17637.5;28641.2;0.003859;0.004797;5.33E-05;0.007873209;0.103426092;6.819461205;1.00E-06
27;[30430.5, 31051.4, 32991.3, 34351.5, 35767.7, 37246.0, 38006.0, 39572.9, 41204.4, 42045.2];[0.004922, 0.005016, 0.005141, 0.005297, 0.005422, 0.005531, 0.005625, 0.005734, 0.005859, 0.005984];30430.5;42045.2;0.004922;0.005984;1.99E-05;0.013062539;0.04482732;17.0975633;1.00E-06
27;[42903.1, 43778.6, 45583.5, 46513.6, 48431.2, 49419.5, 50427.9, 1.2, 4.9, 9.8];[0.006109, 0.006234, 0.006375, 0.006484, 0.006656, 0.006766, 0.006891, 0.000109, 0.000234, 0.000344];1.2;50427.9;0.000109;0.006891;8.46E-06;0.022967856;0.043123089;83.79602151;9.77E-06
28;[16.2, 22.9, 32.3, 43.7, 59.2, 78.5, 104.2, 141.1, 187.2, 248.4];[0.000469, 0.000578, 0.000687, 0.000797, 0.000906, 0.001031, 0.001141, 0.00125, 0.001375, 0.001484];16.2;248.4;0.000469;0.001484;8.98E-07;8.97014678;5.14515172;51404195.01;0.035645376
28;[323.0, 428.6, 557.4, 710.3, 905.1, 1130.4, 1328.7, 1561.7, 1911.3, 2339.2];[0.001609, 0.001672, 0.001766, 0.001844, 0.001922, 0.001969, 0.002031, 0.002078, 0.002141, 0.002188];323;2339.2;0.001609;0.002188;0.006547819;0.002278697;14.28303567;0.796045917;1.00E-06
28;[2921.3, 3503.9, 4118.4, 4939.7, 5464.7, 6168.9, 6688.1, 7549.9, 8185.3, 8696.8, 9240.1, 10643.8, 12015.3, 13292.4, 14411.2, 15942.9, 17284.8, 19121.9];[0.00225, 0.002312, 0.002359, 0.002422, 0.002469, 0.002516, 0.002547, 0.002609, 0.002641, 0.002687, 0.002719, 0.002797, 0.002875, 0.002969, 0.003047, 0.003125, 0.003203, 0.003312];2921.3;19121.9;0.00225;0.003312;0.000513084;0.003412465;0.552228241;0.745031889;1.00E-06
