temperature;pressure [Pa];uptake [mol/g];min pressure [Pa];max pressure [Pa];min uptake [mol/g];max uptake [mol/g];langmuir K;langmuir qsat;langmuir K error;langmuir qsat error;sips_K
323;[277.919, 333.018, 416.576, 471.675, 583.539, 666.945, 778.809, 861.306, 974.533, 1114.7, 1226.57, 1366.74, 1478.75, 1647.23, 1815.86, 1984.49, 2265.89, 2434.52, 2631.75, 2857.15, 3054.23, 3279.78, 3561.78, 3787.48, 4041.48, 4267.33, 4521.48, 4860.1, 5114.25, 5368.56, 5622.71, 5877.02, 6103.17, 6357.32, 6611.78, 6894.39, 7148.69, 7403.3, 7686.06, 7940.52, 8223.28, 8477.74, 8703.89, 8986.65, 9241.11, 9524.02, 9778.48, 9976.47, 10259.4, 10513.8, 10796.8, 11079.7, 11164.3, 11277.7, 11560.4, 11815.0, 11927.7];[0.283545, 0.366957, 0.442007, 0.52542, 0.600452, 0.683846, 0.758878, 0.892342, 0.892271, 0.967285, 1.04232, 1.11733, 1.18402, 1.25902, 1.32567, 1.39232, 1.48393, 1.55059, 1.60053, 1.6588, 1.71709, 1.76702, 1.82526, 1.86684, 1.9084, 1.94164, 1.97486, 2.03306, 2.06628, 2.09115, 2.12437, 2.14925, 2.1658, 2.19902, 2.21555, 2.2404, 2.26528, 2.27346, 2.28998, 2.30651, 2.32302, 2.33955, 2.3561, 2.37261, 2.38914, 2.39731, 2.41384, 2.42206, 2.43022, 2.44676, 2.45492, 2.46309, 2.47973, 2.47131, 2.48782, 2.49601, 2.52932];277.919;11927.7;0.283545;2.52932;0.000444533;2.969827082;0.000238837;0.47716261;1.00E-06
333;[251.883, 363.747, 475.611, 587.475, 727.645, 867.815, 1008.29, 1176.92, 1317.09, 1485.72, 1654.34, 1823.12, 2020.06, 2217.9, 2273.46, 2470.39, 2639.17, 2864.71, 3090.41, 3315.8, 3569.65, 3795.2, 4020.89, 4274.9, 4528.9, 4839.36, 5093.52, 5347.67, 5601.82, 5855.98, 6053.52, 6223.2, 6477.36, 6759.97, 7014.27, 7268.58, 7522.88, 7805.8, 8060.1, 8342.87, 8625.17, 8738.4, 9021.16, 9275.62, 9558.38, 9812.84, 10067.3, 10350.1, 10604.7, 10887.4, 11141.7, 11255.0, 11537.9, 11792.3, 11933.7];[0.158391, 0.233423, 0.308455, 0.383488, 0.458502, 0.533516, 0.591841, 0.658493, 0.733507, 0.800159, 0.866811, 0.925118, 0.991752, 1.00832, 1.0667, 1.13333, 1.19164, 1.24156, 1.28315, 1.34142, 1.39133, 1.44125, 1.48284, 1.5244, 1.56597, 1.61584, 1.64906, 1.68228, 1.7155, 1.74872, 1.78197, 1.79021, 1.82343, 1.84829, 1.87316, 1.89804, 1.92291, 1.93108, 1.95595, 1.97247, 2.01401, 2.01394, 2.03046, 2.04699, 2.0635, 2.08003, 2.09656, 2.11307, 2.12126, 2.13777, 2.16264, 2.16257, 2.17074, 2.18727, 2.19553];251.883;11933.7;0.158391;2.19553;0.000255129;2.915516856;0.000177015;0.778491962;1.00E-06
343;[281.098, 421.42, 618.354, 787.134, 899.452, 1096.54, 1265.32, 1462.25, 1659.34, 1884.73, 2081.97, 2251.05, 2448.14, 2673.68, 2899.23, 3124.92, 3378.92, 3576.16, 3801.71, 4055.71, 4309.86, 4535.56, 4789.56, 5043.71, 5297.87, 5552.02, 5806.17, 6031.87, 6286.33, 6540.48, 6794.78, 7048.94, 7331.1, 7444.47, 7727.24, 7981.54, 8264.15, 8518.61, 8772.76, 9055.52, 9338.14, 9592.59, 9903.51, 9904.27, 10186.3, 10440.7, 10723.3, 10977.9, 11147.3, 11430.2, 11684.7, 11938.9];[0.108305, 0.174974, 0.241609, 0.299916, 0.349914, 0.408203, 0.46651, 0.533144, 0.591434, 0.649705, 0.69965, 0.741268, 0.799557, 0.849484, 0.899411, 0.940993, 0.982557, 1.0325, 1.08243, 1.12399, 1.15721, 1.19879, 1.24036, 1.27358, 1.3068, 1.34002, 1.37324, 1.41482, 1.43135, 1.46457, 1.48944, 1.52266, 1.57256, 1.56414, 1.58065, 1.60553, 1.63038, 1.64691, 1.68013, 1.69665, 1.7215, 1.73803, 1.76287, 1.72115, 1.77939, 1.79592, 1.82077, 1.82896, 1.85389, 1.86205, 1.87858, 1.9118];281.098;11938.9;0.108305;1.9118;0.000150854;2.943534838;0.000147076;1.383639855;1.00E-06
353;[366.32, 563.406, 817.106, 986.34, 1211.88, 1437.43, 1662.97, 1888.52, 2142.67, 2311.75, 2565.91, 2791.45, 3045.6, 3299.61, 3497.45, 3581.76, 3835.77, 4089.92, 4344.07, 4598.07, 4796.22, 4852.23, 5106.53, 5388.99, 5643.15, 5897.45, 6123.45, 6377.6, 6660.21, 6914.52, 7168.67, 7423.28, 7649.13, 7931.74, 8186.2, 8468.81, 8581.73, 8666.8, 8921.11, 9203.72, 9458.17, 9740.63, 9910.47, 9995.39, 10249.7, 10504.0, 10786.8, 11069.5, 11154.3];[0.0915622, 0.149852, 0.208106, 0.241378, 0.291305, 0.341232, 0.391159, 0.441086, 0.474306, 0.515923, 0.549143, 0.59907, 0.632289, 0.673854, 0.690419, 0.723745, 0.76531, 0.798529, 0.831749, 0.873313, 0.873189, 0.906533, 0.931408, 0.96461, 0.997829, 1.0227, 1.0476, 1.08082, 1.10567, 1.13055, 1.16377, 1.17195, 1.20519, 1.23005, 1.24658, 1.27144, 1.28805, 1.27966, 1.30453, 1.32939, 1.34592, 1.37912, 1.37901, 1.37896, 1.40384, 1.42871, 1.44522, 1.46174, 1.47003];366.32;11154.3;0.0915622;1.47003;9.38E-05;2.871289669;0.000150261;2.723469464;1.00E-06
77;[110.136, 144.077, 345.647, 592.24, 1697.75, 3460.62, 5665.42, 10512.1, 15138.5, 20425.7, 30779.2, 40252.9, 51046.2, 61399.7, 71312.6, 81447.2, 91581.1, 96651.5, 98643.6, 100639.0, 101313.0];[50.0, 65.4088, 56.9182, 68.8679, 70.7547, 71.0692, 72.0126, 72.327, 72.6415, 72.956, 73.2704, 74.2138, 74.2138, 74.5283, 74.8428, 75.7862, 76.4151, 78.3019, 82.7044, 88.3648, 94.3396];110.136;101313;50;94.3396;0.0190586;76.51092115;0.000823758;0.244083656;1.00E-06
363;[479.849, 902.782, 1016.16, 1270.31, 1524.32, 1778.47, 2032.62, 2286.78, 2540.93, 2795.08, 3049.39, 3303.54, 3557.7, 3812.0, 4066.3, 4320.61, 4603.07, 4857.53, 5111.68, 5365.98, 5620.29, 5902.9, 6157.36, 6411.51, 6665.82, 6948.43, 7202.73, 7315.66, 7457.19, 7711.49, 7994.26, 8248.71, 8531.48, 8644.55, 8729.17, 9012.08, 9266.39, 9549.0, 9803.45, 10057.9, 10340.7, 10623.4, 10877.7, 11132.2, 11386.8, 11641.1, 11951.9];[0.0748018, 0.166329, 0.157913, 0.191133, 0.232697, 0.265917, 0.299136, 0.332356, 0.365576, 0.398795, 0.42367, 0.45689, 0.490109, 0.514984, 0.539859, 0.564734, 0.597936, 0.614466, 0.647686, 0.67256, 0.697435, 0.722292, 0.738823, 0.772042, 0.796917, 0.821774, 0.846649, 0.863268, 0.863179, 0.888054, 0.904566, 0.921096, 0.937609, 0.945883, 0.962519, 0.970687, 0.995562, 1.02042, 1.03695, 1.05348, 1.06999, 1.0865, 1.11138, 1.12791, 1.13609, 1.16097, 1.19415];479.849;11951.9;0.0748018;1.19415;5.49E-05;2.967329566;0.000148773;5.559890159;1.00E-06
373;[395.535, 903.842, 1016.92, 1299.68, 1553.83, 1807.99, 2090.75, 2175.37, 2458.28, 2712.43, 2995.2, 3249.5, 3532.26, 3758.26, 4040.87, 4295.18, 4577.94, 4888.71, 5171.62, 5425.93, 5708.84, 5963.0, 6189.3, 6472.06, 6754.97, 7009.43, 7461.73, 7744.49, 7999.1, 8281.86, 8536.02, 8762.47, 9045.23, 9299.69, 9582.6, 9836.91, 10006.7, 10289.7, 10544.1, 10826.9, 11081.2, 11279.5, 11562.2, 11816.9, 11957.8];[0.0414758, 0.107915, 0.116189, 0.132701, 0.165921, 0.199141, 0.215653, 0.232289, 0.240457, 0.273677, 0.290189, 0.315064, 0.331576, 0.356469, 0.381326, 0.406201, 0.422713, 0.455897, 0.464065, 0.48894, 0.497108, 0.530327, 0.53853, 0.555043, 0.56321, 0.57974, 0.612836, 0.629348, 0.637534, 0.654046, 0.687266, 0.687124, 0.703636, 0.720166, 0.728334, 0.753209, 0.753103, 0.76127, 0.7778, 0.794313, 0.819187, 0.810719, 0.827231, 0.835416, 0.868707];395.535;11957.8;0.0414758;0.868707;5.03E-05;2.256502811;0.00019645;6.201459938;1.00E-06
313;[51.2778, 89.7362, 102.556, 115.375, 128.195, 141.014, 166.653, 179.472, 205.111, 230.75, 269.209, 307.667, 358.945, 423.042, 499.959, 576.876, 666.612, 781.987, 897.362, 1025.56, 1140.93, 1230.67, 1358.86, 1474.24, 1602.43, 1730.63, 1794.72, 1922.92, 2051.11, 2179.31, 2294.68, 2358.78, 2486.97, 2615.17, 2743.36, 2871.56, 2999.75, 3127.95, 3243.32, 3371.52, 3474.07, 3602.27, 3730.46, 3858.66, 3974.03, 4102.23, 4230.42, 4358.62, 4486.81, 4589.37, 4717.56, 4845.76, 4973.95, 5089.33, 5191.88, 5320.08, 5435.45];[0.758621, 1.08758, 1.15472, 1.30912, 1.37626, 1.44339, 1.51053, 1.57766, 1.6448, 1.70522, 1.77235, 1.83277, 1.89991, 1.95362, 2.00732, 2.06103, 2.08789, 2.12145, 2.14831, 2.16845, 2.18859, 2.20201, 2.20873, 2.22216, 2.22887, 2.2423, 2.2423, 2.24901, 2.24901, 2.25572, 2.25572, 2.26244, 2.26915, 2.26915, 2.26915, 2.26915, 2.28258, 2.28258, 2.28929, 2.28929, 2.28929, 2.28929, 2.28929, 2.28929, 2.296, 2.296, 2.296, 2.296, 2.296, 2.296, 2.296, 2.30272, 2.30272, 2.31614, 2.30272, 2.30943, 2.31614];51.2778;5435.45;0.758621;2.31614;0.01072669;2.356047519;0.006469034;0.186112538;8.83E-13
323;[115.375, 128.195, 141.014, 153.834, 166.653, 192.292, 205.111, 230.75, 256.389, 294.848, 333.306, 384.584, 423.042, 487.139, 551.237, 640.973, 679.431, 756.348, 858.904, 974.279, 1089.65, 1192.21, 1243.49, 1358.86, 1487.06, 1602.43, 1756.27, 1807.54, 1935.74, 2063.93, 2179.31, 2358.78, 2486.97, 2615.17, 2743.36, 2910.02, 3038.21, 3166.41, 3294.6, 3486.89, 3615.09, 3743.28, 3871.48, 4025.31, 4153.5, 4281.7, 4409.89, 4589.37, 4717.56, 4845.76, 4973.95, 5153.42, 5281.62, 5435.45];[0.939884, 1.00702, 1.07415, 1.14129, 1.20842, 1.27556, 1.34269, 1.40311, 1.47025, 1.53738, 1.5978, 1.66494, 1.72536, 1.78578, 1.83949, 1.89991, 1.89991, 1.9469, 1.98718, 2.02075, 2.04761, 2.08117, 2.08117, 2.0946, 2.10803, 2.12817, 2.13488, 2.14831, 2.14831, 2.16173, 2.16845, 2.18187, 2.18187, 2.18859, 2.1953, 2.20201, 2.20873, 2.21544, 2.21544, 2.22216, 2.22216, 2.22887, 2.22887, 2.22887, 2.23558, 2.23558, 2.2423, 2.2423, 2.2423, 2.24901, 2.24901, 2.24901, 2.24901, 2.24901];115.375;5435.45;0.939884;2.24901;0.006471308;2.325036612;0.003816782;0.21795131;6.534188932
333;[282.028, 320.486, 358.945, 397.403, 435.862, 474.32, 512.778, 551.237, 589.695, 628.153, 679.431, 717.89, 769.168, 807.626, 846.084, 897.362, 948.64, 999.918, 1051.2, 1102.47, 1166.57, 1192.21, 1538.34, 1653.71, 1794.72, 1910.1, 2038.29, 2153.67, 2281.86, 2345.96, 2474.16, 2602.35, 2717.73, 2910.02, 3038.21, 3166.41, 3281.78, 3474.07, 3602.27, 3730.46, 3858.66, 4012.49, 4140.69, 4268.88, 4397.07, 4576.55, 4704.74, 4832.94, 4948.31, 5076.51, 5127.78, 5255.98, 5384.17, 5448.27];[0.537077, 0.604211, 0.664633, 0.731767, 0.792188, 0.859323, 0.919744, 0.986879, 1.0473, 1.11443, 1.195, 1.25542, 1.32255, 1.38297, 1.45011, 1.51053, 1.57095, 1.63137, 1.69851, 1.75893, 1.81263, 1.92005, 1.98718, 2.00732, 2.02746, 2.04761, 2.05432, 2.07446, 2.08117, 2.08789, 2.0946, 2.10131, 2.10803, 2.12145, 2.12817, 2.12817, 2.14159, 2.14831, 2.14831, 2.15502, 2.15502, 2.16173, 2.16845, 2.16845, 2.16845, 2.18187, 2.18187, 2.18187, 2.18859, 2.1953, 2.1953, 2.1953, 2.20201, 2.1953];282.028;5448.27;0.537077;2.20201;0.001374904;2.614069203;0.000748381;0.391738375;1.00E-06
343;[76.9168, 153.834, 192.292, 256.389, 294.848, 333.306, 371.764, 423.042, 474.32, 512.778, 551.237, 589.695, 666.612, 717.89, 769.168, 820.445, 871.723, 923.001, 974.279, 1025.56, 1128.11, 1192.21, 1371.68, 1525.52, 1640.89, 1769.09, 1884.46, 1999.84, 2128.03, 2243.41, 2320.32, 2435.7, 2563.89, 2692.09, 2807.46, 2910.02, 3038.21, 3153.59, 3281.78, 3409.98, 3461.25, 3589.45, 3717.64, 3833.02, 3999.67, 4127.87, 4256.06, 4384.25, 4499.63, 4563.73, 4691.92, 4820.12, 4948.31, 5089.33, 5217.52, 5345.71, 5422.63];[0.140983, 0.234971, 0.308819, 0.409521, 0.476656, 0.537077, 0.604211, 0.664633, 0.731767, 0.792188, 0.852609, 0.919744, 1.02045, 1.08087, 1.14129, 1.20842, 1.26884, 1.32927, 1.38969, 1.45011, 1.55081, 1.65151, 1.68508, 1.75221, 1.78578, 1.82606, 1.83949, 1.86634, 1.88648, 1.89991, 1.92005, 1.92676, 1.94019, 1.95362, 1.96033, 1.96704, 1.97376, 1.98718, 1.9939, 2.00732, 2.01404, 2.02746, 2.02746, 2.04089, 2.04761, 2.05432, 2.05432, 2.05432, 2.06103, 2.06103, 2.06103, 2.06103, 2.06775, 2.07446, 2.07446, 2.08789, 2.0946];76.9168;5422.63;0.140983;2.0946;0.001097305;2.549354684;0.000647789;0.446308165;0.000626347
353;[282.028, 346.125, 410.223, 461.501, 525.598, 576.876, 653.792, 705.07, 756.348, 807.626, 846.084, 897.362, 948.64, 999.918, 1051.2, 1102.47, 1153.75, 1192.21, 1346.04, 1435.78, 1551.15, 1653.71, 1756.27, 1871.64, 1987.02, 2102.39, 2217.77, 2333.14, 2448.52, 2563.89, 2692.09, 2807.46, 2935.66, 3051.03, 3179.23, 3294.6, 3422.8, 3538.17, 3666.37, 3794.56, 3909.93, 4038.13, 4166.32, 4281.7, 4409.89, 4525.27, 4653.46, 4781.66, 4897.03, 5025.23, 5153.42, 5281.62, 5409.81];[0.221544, 0.281965, 0.335673, 0.396094, 0.456515, 0.516936, 0.597498, 0.657919, 0.71834, 0.785475, 0.845896, 0.906317, 0.966738, 1.02716, 1.09429, 1.15472, 1.21514, 1.31584, 1.35612, 1.40983, 1.46353, 1.50381, 1.53738, 1.57095, 1.5978, 1.62466, 1.65151, 1.67836, 1.69851, 1.71865, 1.73207, 1.75221, 1.77235, 1.78578, 1.79921, 1.81263, 1.82606, 1.83277, 1.8462, 1.85291, 1.86634, 1.87306, 1.88648, 1.89991, 1.90662, 1.92676, 1.92005, 1.92005, 1.92676, 1.92676, 1.92676, 1.94019, 1.95362];282.028;5409.81;0.221544;1.95362;0.000631312;2.652723238;0.000441877;0.705611044;1.00E-06
373;[294.848, 384.584, 461.501, 551.237, 666.612, 756.348, 846.084, 935.82, 1038.38, 1128.11, 1192.21, 1294.77, 1384.5, 1487.06, 1589.61, 1692.17, 1794.72, 1884.46, 1987.02, 2089.57, 2204.95, 2307.5, 2397.24, 2525.43, 2640.81, 2743.36, 2858.74, 2961.29, 3076.67, 3192.05, 3307.42, 3435.61, 3538.17, 3666.37, 3781.74, 3897.12, 3986.85, 4115.05, 4230.42, 4345.8, 4435.53, 4538.09, 4691.92, 4820.12, 4935.49, 5114.96, 5217.52, 5345.71, 5422.63];[0.181263, 0.228258, 0.275252, 0.32896, 0.389381, 0.436375, 0.483369, 0.52365, 0.570644, 0.610925, 0.637779, 0.678059, 0.71834, 0.758621, 0.798902, 0.839182, 0.859323, 0.906317, 0.939884, 0.973452, 1.00702, 1.06073, 1.07415, 1.10101, 1.13457, 1.16143, 1.21514, 1.22185, 1.2487, 1.27556, 1.30241, 1.35612, 1.35612, 1.38297, 1.40311, 1.42997, 1.45682, 1.47025, 1.49039, 1.51724, 1.53738, 1.55752, 1.57766, 1.5978, 1.61123, 1.63137, 1.65151, 1.67836, 1.67165];294.848;5422.63;0.181263;1.67836;0.000215579;3.132914365;0.000282129;2.361551223;1.00E-06
383;[307.667, 410.223, 525.598, 628.153, 730.709, 846.084, 961.459, 1064.02, 1230.67, 1346.04, 1448.6, 1563.97, 1679.35, 1794.72, 1910.1, 2025.47, 2140.85, 2243.41, 2345.96, 2461.34, 2576.71, 2692.09, 2794.64, 2910.02, 3012.57, 3140.77, 3256.14, 3371.52, 3448.43, 3563.81, 3679.18, 3807.38, 3922.75, 4038.13, 4153.5, 4281.7, 4397.07, 4576.55, 4691.92, 4820.12, 4935.49, 5063.69, 5127.78, 5243.16, 5371.35];[0.114129, 0.147696, 0.181263, 0.221544, 0.255111, 0.288679, 0.315533, 0.355813, 0.402808, 0.429661, 0.463229, 0.496796, 0.530363, 0.563931, 0.590784, 0.624352, 0.651206, 0.684773, 0.711627, 0.745194, 0.772048, 0.805615, 0.832469, 0.859323, 0.89289, 0.919744, 0.946598, 0.973452, 0.986879, 1.01373, 1.03387, 1.06073, 1.08087, 1.10101, 1.12115, 1.14129, 1.16143, 1.195, 1.21514, 1.22856, 1.2487, 1.26213, 1.27556, 1.2957, 1.30241];307.667;5371.35;0.114129;1.30241;9.49E-05;3.938324287;0.000264976;8.114889075;1.00E-06
393;[628.153, 743.529, 858.904, 987.098, 1102.47, 1217.85, 1333.22, 1448.6, 1576.79, 1692.17, 1794.72, 1922.92, 2038.29, 2153.67, 2281.86, 2320.32, 2435.7, 2563.89, 2679.27, 2807.46, 2884.38, 2999.75, 3115.13, 3243.32, 3358.7, 3409.98, 3538.17, 3653.55, 3768.92, 3897.12, 3999.67, 4127.87, 4243.24, 4358.62, 4473.99, 4602.19, 4717.56, 4845.76, 4961.13, 5076.51, 5114.96, 5230.34, 5358.53];[0.147696, 0.161123, 0.181263, 0.208117, 0.228258, 0.241685, 0.261825, 0.288679, 0.302106, 0.32896, 0.3491, 0.36924, 0.389381, 0.416235, 0.436375, 0.456515, 0.463229, 0.483369, 0.503509, 0.530363, 0.557217, 0.563931, 0.584071, 0.604211, 0.631065, 0.651206, 0.657919, 0.678059, 0.704913, 0.725054, 0.745194, 0.765334, 0.785475, 0.805615, 0.832469, 0.845896, 0.87275, 0.89289, 0.913031, 0.926457, 0.946598, 0.966738, 0.980165];628.153;5358.53;0.147696;0.980165;1.82E-05;11.00627173;0.000263238;148.4349959;1.00E-06
87;[447.47, 894.248, 1787.8, 4008.53, 4895.16, 7551.58, 10206.6, 12638.6, 15067.1, 18158.6, 19924.2, 25440.0, 31836.9, 35805.9, 45727.2, 55646.3, 66003.9, 76142.7, 86278.6, 96415.3, 99279.5, 102144.0];[3.14465, 5.97484, 11.6352, 19.8113, 22.327, 28.3019, 33.6478, 37.7358, 40.2516, 43.7107, 45.283, 49.3711, 53.4591, 55.3459, 59.434, 62.5786, 64.7799, 67.6101, 69.1824, 71.0692, 71.3836, 72.0126];447.47;102144;3.14465;72.0126;6.93E-05;79.98448405;1.99E-06;0.668500973;1.00E-06
403;[282.028, 858.904, 1064.02, 1243.49, 1371.68, 1487.06, 1615.25, 1781.9, 1897.28, 2025.47, 2140.85, 2269.04, 2384.42, 2512.61, 2627.99, 2756.18, 2871.56, 2986.93, 3102.31, 3230.5, 3358.7, 3448.43, 3563.81, 3692.0, 3807.38, 3935.57, 4050.95, 4179.14, 4294.52, 4422.71, 4538.09, 4666.28, 4781.66, 4909.85, 5025.23, 5140.6, 5268.8, 5384.17];[0.0402808, 0.0939884, 0.114129, 0.140983, 0.15441, 0.167836, 0.181263, 0.19469, 0.214831, 0.228258, 0.241685, 0.261825, 0.275252, 0.281965, 0.302106, 0.315533, 0.342386, 0.342386, 0.355813, 0.36924, 0.382667, 0.396094, 0.409521, 0.422948, 0.436375, 0.449802, 0.463229, 0.476656, 0.496796, 0.510223, 0.530363, 0.537077, 0.550504, 0.563931, 0.577358, 0.590784, 0.604211, 0.624352];282.028;5384.17;0.0402808;0.624352;1.15E-06;100;0.000403178;34768.39054;1.00E-06
413;[166.653, 423.042, 615.334, 679.431, 794.806, 1025.56, 1243.49, 1371.68, 1487.06, 1615.25, 1781.9, 1910.1, 2025.47, 2153.67, 2281.86, 2397.24, 2525.43, 2640.81, 2769.0, 2884.38, 2999.75, 3115.13, 3243.32, 3461.25, 3589.45, 3704.82, 3833.02, 3961.21, 3999.67, 4127.87, 4243.24, 4371.44, 4499.63, 4589.37, 4717.56, 4845.76, 4961.13, 5089.33, 5204.7, 5332.89];[0.0268538, 0.0537077, 0.0671346, 0.0671346, 0.087275, 0.100702, 0.114129, 0.120842, 0.134269, 0.140983, 0.15441, 0.161123, 0.17455, 0.181263, 0.19469, 0.201404, 0.208117, 0.221544, 0.228258, 0.241685, 0.248398, 0.261825, 0.261825, 0.281965, 0.288679, 0.302106, 0.308819, 0.315533, 0.322246, 0.32896, 0.342386, 0.355813, 0.362527, 0.36924, 0.382667, 0.382667, 0.396094, 0.409521, 0.416235, 0.422948];166.653;5332.89;0.0268538;0.422948;2.88E-05;3.152739822;0.000696232;68.42963839;1.00E-06
423;[166.653, 384.584, 499.959, 679.431, 807.626, 935.82, 1064.02, 1358.86, 1487.06, 1615.25, 1807.54, 1935.74, 2063.93, 2192.13, 2333.14, 2461.34, 2589.53, 2717.73, 2897.2, 3025.39, 3153.59, 3281.78, 3461.25, 3589.45, 3717.64, 3845.84, 3999.67, 4127.87, 4256.06, 4384.25, 4563.73, 4691.92, 4820.12, 4948.31, 5063.69, 5191.88, 5320.08, 5422.63];[0.0268538, 0.0335673, 0.0402808, 0.0402808, 0.0469942, 0.0537077, 0.0537077, 0.0604211, 0.0671346, 0.0738481, 0.0805615, 0.0805615, 0.087275, 0.087275, 0.0939884, 0.100702, 0.100702, 0.107415, 0.107415, 0.114129, 0.120842, 0.120842, 0.127556, 0.134269, 0.134269, 0.140983, 0.147696, 0.147696, 0.15441, 0.161123, 0.161123, 0.167836, 0.167836, 0.17455, 0.181263, 0.181263, 0.181263, 0.17455];166.653;5422.63;0.0268538;0.181263;9.91E-05;0.517250597;0.002150397;8.121278868;1.00E-06
303;[87.253, 99.6956, 112.123, 130.709, 143.152, 155.594, 174.166, 186.608, 205.195, 223.766, 242.352, 260.923, 279.51, 298.096, 329.033, 353.748, 372.334, 397.049, 421.764, 452.623, 477.338, 508.181, 545.184, 588.424, 723.698, 785.184, 840.541, 883.58, 938.922, 1000.41, 1055.76, 1117.25, 1160.29, 1221.76, 1277.1, 1338.57, 1393.9, 1443.06, 1504.52, 1559.84, 1621.3, 1713.49, 1774.94, 1836.4, 1891.71, 1953.16, 1983.9, 2045.35, 2106.81, 2162.12, 2266.6, 2328.05, 2389.51, 2444.82, 2500.13, 2536.99, 2598.45, 2659.89, 2709.05];[0.350071, 0.393833, 0.43322, 0.476991, 0.520753, 0.564514, 0.603912, 0.647673, 0.691445, 0.730842, 0.774613, 0.814011, 0.857782, 0.901554, 0.962842, 1.00225, 1.04602, 1.08543, 1.12484, 1.16425, 1.20366, 1.2387, 1.27813, 1.34381, 1.37465, 1.38788, 1.40547, 1.41428, 1.4275, 1.44072, 1.45831, 1.47153, 1.48035, 1.4892, 1.50241, 1.51126, 1.5201, 1.52455, 1.52903, 1.53787, 1.54234, 1.55124, 1.55572, 1.56019, 1.56466, 1.56913, 1.57356, 1.57803, 1.58251, 1.58697, 1.59589, 1.60037, 1.60484, 1.60931, 1.61377, 1.61383, 1.61831, 1.61841, 1.62286];87.253;2709.05;0.350071;1.62286;0.003310178;1.839525339;0.002376255;0.339597541;1.03E-06
313;[93.2112, 111.798, 124.225, 142.811, 161.398, 179.969, 198.556, 217.127, 235.713, 254.284, 278.999, 297.586, 316.157, 340.872, 371.731, 396.446, 421.161, 452.019, 482.878, 513.722, 550.709, 587.805, 710.823, 760.051, 815.424, 870.781, 926.123, 987.609, 1042.95, 1098.29, 1153.63, 1208.96, 1270.43, 1325.76, 1387.23, 1442.55, 1504.02, 1559.35, 1620.8, 1676.15, 1737.6, 1792.91, 1854.38, 1915.84, 1971.16, 2026.47, 2087.93, 2149.4, 2204.71, 2260.04, 2321.47, 2376.79, 2438.24, 2499.69, 2555.01, 2610.32, 2671.77];[0.297592, 0.341363, 0.380751, 0.424522, 0.468294, 0.507691, 0.551462, 0.59086, 0.634631, 0.674029, 0.713436, 0.757208, 0.796605, 0.836012, 0.87543, 0.914837, 0.954245, 0.993662, 1.03308, 1.06812, 1.10318, 1.16885, 1.20842, 1.23037, 1.25233, 1.26992, 1.28313, 1.29635, 1.30957, 1.32278, 1.33599, 1.34483, 1.35368, 1.36252, 1.37137, 1.38021, 1.38906, 1.3979, 1.40237, 1.41558, 1.42006, 1.42452, 1.43337, 1.43785, 1.44669, 1.45115, 1.45563, 1.46448, 1.46894, 1.47778, 1.47788, 1.48235, 1.48682, 1.49129, 1.49576, 1.50022, 1.5047];93.2112;2671.77;0.297592;1.5047;0.00270833;1.737026471;0.002203582;0.389508622;1.11E-06
323;[37.0957, 61.8107, 86.5256, 86.5875, 111.241, 142.1, 166.814, 197.673, 228.532, 259.376, 290.235, 308.775, 345.731, 382.718, 419.706, 456.693, 499.824, 536.812, 610.786, 647.774, 684.761, 721.749, 758.736, 795.723, 832.711, 869.729, 918.942, 968.186, 1017.43, 1066.66, 1115.89, 1171.25, 1226.59, 1281.94, 1337.3, 1392.66, 1417.25, 1441.84, 1503.33, 1558.67, 1620.14, 1675.5, 1730.81, 1792.28, 1847.62, 1909.07, 1988.99, 2050.46, 2105.77, 2167.24, 2234.87, 2296.31, 2357.78, 2413.09, 2474.56, 2511.46, 2529.89, 2542.16, 2603.62, 2665.05, 2689.61];[0.0656724, 0.10508, 0.144487, 0.161984, 0.183895, 0.223312, 0.26272, 0.302137, 0.341555, 0.376598, 0.416016, 0.446665, 0.47297, 0.508024, 0.543077, 0.578131, 0.613194, 0.648248, 0.718355, 0.753408, 0.788461, 0.823515, 0.858568, 0.893622, 0.928675, 0.972477, 0.990054, 1.01638, 1.04271, 1.06466, 1.08661, 1.10419, 1.11741, 1.135, 1.15258, 1.17017, 1.17458, 1.179, 1.19222, 1.20543, 1.21428, 1.23187, 1.23634, 1.24518, 1.2584, 1.26287, 1.27613, 1.28498, 1.28944, 1.29829, 1.31152, 1.31162, 1.32047, 1.32494, 1.33379, 1.34259, 1.34263, 1.33827, 1.34275, 1.34285, 1.33851];37.0957;2689.61;0.0656724;1.34285;0.001113799;1.857336793;0.001165384;0.757392849;0.000258426
