experiment;temperature;pressure [Pa];uptake [mol/g]
10.1002adem.201000246.Isotherm2;46;668.5;0.000125
10.1002adem.201000246.Isotherm2;46;869.3;0.000156
10.1002adem.201000246.Isotherm2;46;1085.6;0.000203
10.1002adem.201000246.Isotherm2;46;1302.1;0.000234
10.1002adem.201000246.Isotherm2;46;1561.7;0.000266
10.1002adem.201000246.Isotherm2;46;1798.9;0.000297
10.1002adem.201000246.Isotherm2;46;1950.3;0.000313
10.1002adem.201000246.Isotherm2;46;2114.5;0.000344
10.1002adem.201000246.Isotherm2;46;2292.4;0.000375
10.1002adem.201000246.Isotherm2;46;2435.7;0.000375
10.1002adem.201000246.Isotherm2;46;2694.6;0.000406
10.1002adem.201000246.Isotherm2;46;2862.9;0.000438
10.1002adem.201000246.Isotherm2;46;3041.8;0.000438
10.1002adem.201000246.Isotherm2;46;3297.8;0.000469
10.1002adem.201000246.Isotherm2;46;3575.4;0.0005
10.1002adem.201000246.Isotherm2;46;3876.3;0.000516
10.1002adem.201000246.Isotherm2;46;4118.4;0.000547
10.1002adem.201000246.Isotherm2;46;4465.1;0.000594
10.1002adem.201000246.Isotherm2;46;4744.1;0.000594
10.1002adfm.200500561.Isotherm1;46;5040.4;0.000609
10.1002adfm.200500561.Isotherm1;46;5355.4;0.000625
10.1002adfm.200500561.Isotherm1;50;125;1.60E-05
10.1002adfm.200500561.Isotherm1;50;258.7;4.70E-05
10.1002adfm.200500561.Isotherm1;50;403.4;6.30E-05
10.1002adfm.200500561.Isotherm1;50;535.3;9.40E-05
10.1002adfm.200500561.Isotherm1;50;682.2;9.40E-05
10.1002adfm.200500561.Isotherm1;50;887;0.000109
10.1002adfm.200500561.Isotherm1;50;1063.9;0.000109
10.1002adfm.200500561.Isotherm2;50;1225.5;0.000125
10.1002adfm.200500561.Isotherm2;50;1469.9;0.000156
10.1002adfm.200500561.Isotherm2;50;1763;0.000188
10.1002adfm.200500561.Isotherm2;50;2114.5;0.000219
10.1002adfm.200500561.Isotherm2;50;2435.7;0.00025
10.1002adfm.200500561.Isotherm2;50;2805.6;0.00025
10.1002adfm.200500561.Isotherm2;50;3167.2;0.000281
10.1002adfm.200500561.Isotherm2;50;3365.1;0.000297
