experiment;temperature;pressure [Pa];uptake [mol/g]
10.1002adfm.200800058.Isotherm15;313;689.953;0.975896
10.1002adfm.200800058.Isotherm15;313;773.359;1.05929
10.1002adfm.200800058.Isotherm15;313;996.482;1.24273
10.1002adfm.200800058.Isotherm15;313;1108.35;1.31777
10.1002adfm.200800058.Isotherm15;313;1220.21;1.3928
10.1002adfm.200800058.Isotherm15;313;1332.07;1.46783
10.1002adfm.200800058.Isotherm15;313;1472.24;1.54284
10.1002adfm.200800058.Isotherm15;313;1612.41;1.61786
10.1002adfm.200800058.Isotherm15;313;1752.74;1.68453
10.1002adfm.200800058.Isotherm15;313;1921.36;1.75118
10.1002adfm.200800058.Isotherm15;313;2089.99;1.81783
10.1002adfm.200800058.Isotherm15;313;2286.78;1.89281
10.1002adfm.200800058.Isotherm15;313;2483.86;1.9511
10.1002adfm.200800058.Isotherm15;313;2680.95;2.00939
10.1002adfm.200800058.Isotherm15;313;2906.49;2.05932
10.1002adfm.200800058.Isotherm15;313;3103.73;2.10926
10.1002adfm.200800058.Isotherm15;313;3329.27;2.15919
10.1002adfm.200800058.Isotherm15;313;3583.28;2.20075
10.1002adfm.200800058.Isotherm15;313;3808.82;2.25068
10.1002adfm.200800058.Isotherm15;313;4063.13;2.27555
10.1002adfm.200800058.Isotherm15;313;4317.13;2.31712
10.1002adfm.200800058.Isotherm15;313;4571.28;2.35034
10.1002adfm.200800058.Isotherm15;313;4712.51;2.36694
10.1002adfm.200800058.Isotherm15;313;4853.59;2.39189
10.1002adfm.200800058.Isotherm15;313;5107.9;2.41676
10.1002adfm.200800058.Isotherm15;313;5390.51;2.44162
10.1002adfm.200800058.Isotherm15;313;5644.81;2.46649
10.1002adfm.200800058.Isotherm15;313;5899.12;2.49137
10.1002adfm.200800058.Isotherm15;313;6040.95;2.47459
10.1002adfm.200800058.Isotherm15;313;6153.88;2.49121
10.1002adfm.200800058.Isotherm15;313;6351.26;2.53281
10.1002adfm.200800058.Isotherm15;313;6634.03;2.54932
10.1002adfm.200800058.Isotherm15;313;6916.79;2.56583
10.1002adfm.200800058.Isotherm15;313;7171.1;2.59071
10.1002adfm.200800058.Isotherm15;313;7313.08;2.56558
10.1002adfm.200800058.Isotherm15;313;7425.7;2.59889
10.1002adfm.200800058.Isotherm15;313;7708.62;2.60706
10.1002adfm.200800058.Isotherm15;313;7963.07;2.62359
10.1002adfm.200800058.Isotherm15;313;8245.84;2.6401
10.1002adfm.200800058.Isotherm15;313;8698.44;2.65651
10.1002adfm.200800058.Isotherm15;313;8981.2;2.67302
10.1002adfm.200800058.Isotherm15;313;9235.81;2.68121
10.1002adfm.200800058.Isotherm15;313;9518.57;2.69772
10.1002adfm.200800058.Isotherm15;313;9886.1;2.72252
10.1002adfm.200800058.Isotherm15;313;9999.48;2.71411
10.1002adfm.200800058.Isotherm15;313;10282.4;2.72227
10.1002adfm.200800058.Isotherm15;313;10537;2.73046
10.1002adfm.200800058.Isotherm15;313;10819.8;2.74697
10.1002adfm.200800058.Isotherm15;313;11159;2.77179
10.1002adfm.200800058.Isotherm15;313;11272.7;2.74669
10.1002adfm.200800058.Isotherm15;313;11555.6;2.75486
10.1002adfm.200800058.Isotherm15;313;11894.4;2.80471
10.1002adfm.200800058.Isotherm16;323;277.919;0.283545
10.1002adfm.200800058.Isotherm16;323;333.018;0.366957
10.1002adfm.200800058.Isotherm16;323;416.576;0.442007
10.1002adfm.200800058.Isotherm16;323;471.675;0.52542
10.1002adfm.200800058.Isotherm16;323;583.539;0.600452
10.1002adfm.200800058.Isotherm16;323;666.945;0.683846
10.1002adfm.200800058.Isotherm16;323;778.809;0.758878
10.1002adfm.200800058.Isotherm16;323;861.306;0.892342
10.1002adfm.200800058.Isotherm16;323;974.533;0.892271
10.1002adfm.200800058.Isotherm16;323;1114.7;0.967285
10.1002adfm.200800058.Isotherm16;323;1226.57;1.04232
10.1002adfm.200800058.Isotherm16;323;1366.74;1.11733
10.1002adfm.200800058.Isotherm16;323;1478.75;1.18402
10.1002adfm.200800058.Isotherm16;323;1647.23;1.25902
10.1002adfm.200800058.Isotherm16;323;1815.86;1.32567
10.1002adfm.200800058.Isotherm16;323;1984.49;1.39232
10.1002adfm.200800058.Isotherm16;323;2265.89;1.48393
10.1002adfm.200800058.Isotherm16;323;2434.52;1.55059
10.1002adfm.200800058.Isotherm16;323;2631.75;1.60053
10.1002adfm.200800058.Isotherm16;323;2857.15;1.6588
10.1002adfm.200800058.Isotherm16;323;3054.23;1.71709
10.1002adfm.200800058.Isotherm16;323;3279.78;1.76702
10.1002adfm.200800058.Isotherm16;323;3561.78;1.82526
10.1002adfm.200800058.Isotherm16;323;3787.48;1.86684
10.1002adfm.200800058.Isotherm16;323;4041.48;1.9084
10.1002adfm.200800058.Isotherm16;323;4267.33;1.94164
10.1002adfm.200800058.Isotherm16;323;4521.48;1.97486
10.1002adfm.200800058.Isotherm16;323;4860.1;2.03306
10.1002adfm.200800058.Isotherm16;323;5114.25;2.06628
10.1002adfm.200800058.Isotherm16;323;5368.56;2.09115
10.1002adfm.200800058.Isotherm16;323;5622.71;2.12437
10.1002adfm.200800058.Isotherm16;323;5877.02;2.14925
10.1002adfm.200800058.Isotherm16;323;6103.17;2.1658
10.1002adfm.200800058.Isotherm16;323;6357.32;2.19902
10.1002adfm.200800058.Isotherm16;323;6611.78;2.21555
10.1002adfm.200800058.Isotherm16;323;6894.39;2.2404
10.1002adfm.200800058.Isotherm16;323;7148.69;2.26528
10.1002adfm.200800058.Isotherm16;323;7403.3;2.27346
10.1002adfm.200800058.Isotherm16;323;7686.06;2.28998
10.1002adfm.200800058.Isotherm16;323;7940.52;2.30651
10.1002adfm.200800058.Isotherm16;323;8223.28;2.32302
10.1002adfm.200800058.Isotherm16;323;8477.74;2.33955
10.1002adfm.200800058.Isotherm16;323;8703.89;2.3561
10.1002adfm.200800058.Isotherm16;323;8986.65;2.37261
10.1002adfm.200800058.Isotherm16;323;9241.11;2.38914
10.1002adfm.200800058.Isotherm16;323;9524.02;2.39731
10.1002adfm.200800058.Isotherm16;323;9778.48;2.41384
10.1002adfm.200800058.Isotherm16;323;9976.47;2.42206
10.1002adfm.200800058.Isotherm16;323;10259.4;2.43022
10.1002adfm.200800058.Isotherm16;323;10513.8;2.44676
10.1002adfm.200800058.Isotherm16;323;10796.8;2.45492
10.1002adfm.200800058.Isotherm16;323;11079.7;2.46309
10.1002adfm.200800058.Isotherm16;323;11164.3;2.47973
10.1002adfm.200800058.Isotherm16;323;11277.7;2.47131
10.1002adfm.200800058.Isotherm16;323;11560.4;2.48782
10.1002adfm.200800058.Isotherm16;323;11815;2.49601
10.1002adfm.200800058.Isotherm16;323;11927.7;2.52932
10.1002adfm.200800058.Isotherm17;333;251.883;0.158391
10.1002adfm.200800058.Isotherm17;333;363.747;0.233423
10.1002adfm.200800058.Isotherm17;333;475.611;0.308455
10.1002adfm.200800058.Isotherm17;333;587.475;0.383488
10.1002adfm.200800058.Isotherm17;333;727.645;0.458502
10.1002adfm.200800058.Isotherm17;333;867.815;0.533516
10.1002adfm.200800058.Isotherm17;333;1008.29;0.591841
10.1002adfm.200800058.Isotherm17;333;1176.92;0.658493
10.1002adfm.200800058.Isotherm17;333;1317.09;0.733507
10.1002adfm.200800058.Isotherm17;333;1485.72;0.800159
10.1002adfm.200800058.Isotherm17;333;1654.34;0.866811
10.1002adfm.200800058.Isotherm17;333;1823.12;0.925118
10.1002adfm.200800058.Isotherm17;333;2020.06;0.991752
10.1002adfm.200800058.Isotherm17;333;2217.9;1.00832
10.1002adfm.200800058.Isotherm17;333;2273.46;1.0667
10.1002adfm.200800058.Isotherm17;333;2470.39;1.13333
10.1002adfm.200800058.Isotherm17;333;2639.17;1.19164
10.1002adfm.200800058.Isotherm17;333;2864.71;1.24156
10.1002adfm.200800058.Isotherm17;333;3090.41;1.28315
10.1002adfm.200800058.Isotherm17;333;3315.8;1.34142
10.1002adfm.200800058.Isotherm17;333;3569.65;1.39133
10.1002adfm.200800058.Isotherm17;333;3795.2;1.44125
10.1002adfm.200800058.Isotherm17;333;4020.89;1.48284
10.1002adfm.200800058.Isotherm17;333;4274.9;1.5244
10.1002adfm.200800058.Isotherm17;333;4528.9;1.56597
10.1002adfm.200800058.Isotherm17;333;4839.36;1.61584
10.1002adfm.200800058.Isotherm17;333;5093.52;1.64906
10.1002adfm.200800058.Isotherm17;333;5347.67;1.68228
10.1002adfm.200800058.Isotherm17;333;5601.82;1.7155
10.1002adfm.200800058.Isotherm17;333;5855.98;1.74872
10.1002adfm.200800058.Isotherm17;333;6053.52;1.78197
10.1002adfm.200800058.Isotherm17;333;6223.2;1.79021
10.1002adfm.200800058.Isotherm17;333;6477.36;1.82343
10.1002adfm.200800058.Isotherm17;333;6759.97;1.84829
10.1002adfm.200800058.Isotherm17;333;7014.27;1.87316
10.1002adfm.200800058.Isotherm17;333;7268.58;1.89804
10.1002adfm.200800058.Isotherm17;333;7522.88;1.92291
10.1002adfm.200800058.Isotherm17;333;7805.8;1.93108
10.1002adfm.200800058.Isotherm17;333;8060.1;1.95595
10.1002adfm.200800058.Isotherm17;333;8342.87;1.97247
10.1002adfm.200800058.Isotherm17;333;8625.17;2.01401
10.1002adfm.200800058.Isotherm17;333;8738.4;2.01394
10.1002adfm.200800058.Isotherm17;333;9021.16;2.03046
10.1002adfm.200800058.Isotherm17;333;9275.62;2.04699
10.1002adfm.200800058.Isotherm17;333;9558.38;2.0635
10.1002adfm.200800058.Isotherm17;333;9812.84;2.08003
10.1002adfm.200800058.Isotherm17;333;10067.3;2.09656
10.1002adfm.200800058.Isotherm17;333;10350.1;2.11307
10.1002adfm.200800058.Isotherm17;333;10604.7;2.12126
10.1002adfm.200800058.Isotherm17;333;10887.4;2.13777
10.1002adfm.200800058.Isotherm17;333;11141.7;2.16264
10.1002adfm.200800058.Isotherm17;333;11255;2.16257
10.1002adfm.200800058.Isotherm17;333;11537.9;2.17074
10.1002adfm.200800058.Isotherm17;333;11792.3;2.18727
10.1002adfm.200800058.Isotherm17;333;11933.7;2.19553
10.1002adfm.200800058.Isotherm18;343;281.098;0.108305
10.1002adfm.200800058.Isotherm18;343;421.42;0.174974
10.1002adfm.200800058.Isotherm18;343;618.354;0.241609
10.1002adfm.200800058.Isotherm18;343;787.134;0.299916
10.1002adfm.200800058.Isotherm18;343;899.452;0.349914
10.1002adfm.200800058.Isotherm18;343;1096.54;0.408203
10.1002adfm.200800058.Isotherm18;343;1265.32;0.46651
10.1002adfm.200800058.Isotherm18;343;1462.25;0.533144
10.1002adfm.200800058.Isotherm18;343;1659.34;0.591434
10.1002adfm.200800058.Isotherm18;343;1884.73;0.649705
10.1002adfm.200800058.Isotherm18;343;2081.97;0.69965
10.1002adfm.200800058.Isotherm18;343;2251.05;0.741268
10.1002adfm.200800058.Isotherm18;343;2448.14;0.799557
10.1002adfm.200800058.Isotherm18;343;2673.68;0.849484
10.1002adfm.200800058.Isotherm18;343;2899.23;0.899411
10.1002adfm.200800058.Isotherm18;343;3124.92;0.940993
10.1002adfm.200800058.Isotherm18;343;3378.92;0.982557
10.1002adfm.200800058.Isotherm18;343;3576.16;1.0325
10.1002adfm.200800058.Isotherm18;343;3801.71;1.08243
10.1002adfm.200800058.Isotherm18;343;4055.71;1.12399
10.1002adfm.200800058.Isotherm18;343;4309.86;1.15721
10.1002adfm.200800058.Isotherm18;343;4535.56;1.19879
10.1002adfm.200800058.Isotherm18;343;4789.56;1.24036
10.1002adfm.200800058.Isotherm18;343;5043.71;1.27358
10.1002adfm.200800058.Isotherm18;343;5297.87;1.3068
10.1002adfm.200800058.Isotherm18;343;5552.02;1.34002
10.1002adfm.200800058.Isotherm18;343;5806.17;1.37324
10.1002adfm.200800058.Isotherm18;343;6031.87;1.41482
10.1002adfm.200800058.Isotherm18;343;6286.33;1.43135
10.1002adfm.200800058.Isotherm18;343;6540.48;1.46457
10.1002adfm.200800058.Isotherm18;343;6794.78;1.48944
10.1002adfm.200800058.Isotherm18;343;7048.94;1.52266
10.1002adfm.200800058.Isotherm18;343;7331.1;1.57256
10.1002adfm.200800058.Isotherm18;343;7444.47;1.56414
10.1002adfm.200800058.Isotherm18;343;7727.24;1.58065
10.1002adfm.200800058.Isotherm18;343;7981.54;1.60553
10.1002adfm.200800058.Isotherm18;343;8264.15;1.63038
10.1002adfm.200800058.Isotherm18;343;8518.61;1.64691
10.1002adfm.200800058.Isotherm18;343;8772.76;1.68013
10.1002adfm.200800058.Isotherm18;343;9055.52;1.69665
10.1002adfm.200800058.Isotherm18;343;9338.14;1.7215
10.1002adfm.200800058.Isotherm18;343;9592.59;1.73803
10.1002adfm.200800058.Isotherm18;343;9903.51;1.76287
10.1002adfm.200800058.Isotherm18;343;9904.27;1.72115
10.1002adfm.200800058.Isotherm18;343;10186.3;1.77939
10.1002adfm.200800058.Isotherm18;343;10440.7;1.79592
10.1002adfm.200800058.Isotherm18;343;10723.3;1.82077
10.1002adfm.200800058.Isotherm18;343;10977.9;1.82896
10.1002adfm.200800058.Isotherm18;343;11147.3;1.85389
10.1002adfm.200800058.Isotherm18;343;11430.2;1.86205
10.1002adfm.200800058.Isotherm18;343;11684.7;1.87858
10.1002adfm.200800058.Isotherm18;343;11938.9;1.9118
10.1002adfm.200800058.Isotherm19;353;366.32;0.0915622
10.1002adfm.200800058.Isotherm19;353;563.406;0.149852
10.1002adfm.200800058.Isotherm19;353;817.106;0.208106
10.1002adfm.200800058.Isotherm19;353;986.34;0.241378
10.1002adfm.200800058.Isotherm19;353;1211.88;0.291305
10.1002adfm.200800058.Isotherm19;353;1437.43;0.341232
10.1002adfm.200800058.Isotherm19;353;1662.97;0.391159
10.1002adfm.200800058.Isotherm19;353;1888.52;0.441086
10.1002adfm.200800058.Isotherm19;353;2142.67;0.474306
10.1002adfm.200800058.Isotherm19;353;2311.75;0.515923
10.1002adfm.200800058.Isotherm19;353;2565.91;0.549143
10.1002adfm.200800058.Isotherm19;353;2791.45;0.59907
10.1002adfm.200800058.Isotherm19;353;3045.6;0.632289
10.1002adfm.200800058.Isotherm19;353;3299.61;0.673854
10.1002adfm.200800058.Isotherm19;353;3497.45;0.690419
10.1002adfm.200800058.Isotherm19;353;3581.76;0.723745
10.1002adfm.200800058.Isotherm19;353;3835.77;0.76531
10.1002adfm.200800058.Isotherm19;353;4089.92;0.798529
10.1002adfm.200800058.Isotherm19;353;4344.07;0.831749
10.1002adfm.200800058.Isotherm19;353;4598.07;0.873313
10.1002adfm.200800058.Isotherm19;353;4796.22;0.873189
10.1002adfm.200800058.Isotherm19;353;4852.23;0.906533
10.1002adfm.200800058.Isotherm19;353;5106.53;0.931408
10.1002adfm.200800058.Isotherm19;353;5388.99;0.96461
10.1002adfm.200800058.Isotherm19;353;5643.15;0.997829
10.1002adfm.200800058.Isotherm19;353;5897.45;1.0227
10.1002adfm.200800058.Isotherm19;353;6123.45;1.0476
10.1002adfm.200800058.Isotherm19;353;6377.6;1.08082
10.1002adfm.200800058.Isotherm19;353;6660.21;1.10567
10.1002adfm.200800058.Isotherm19;353;6914.52;1.13055
10.1002adfm.200800058.Isotherm19;353;7168.67;1.16377
10.1002adfm.200800058.Isotherm19;353;7423.28;1.17195
10.1002adfm.200800058.Isotherm19;353;7649.13;1.20519
10.1002adfm.200800058.Isotherm19;353;7931.74;1.23005
10.1002adfm.200800058.Isotherm19;353;8186.2;1.24658
10.1002adfm.200800058.Isotherm19;353;8468.81;1.27144
10.1002adfm.200800058.Isotherm19;353;8581.73;1.28805
10.1002adfm.200800058.Isotherm19;353;8666.8;1.27966
10.1002adfm.200800058.Isotherm19;353;8921.11;1.30453
10.1002adfm.200800058.Isotherm19;353;9203.72;1.32939
10.1002adfm.200800058.Isotherm19;353;9458.17;1.34592
10.1002adfm.200800058.Isotherm19;353;9740.63;1.37912
10.1002adfm.200800058.Isotherm19;353;9910.47;1.37901
10.1002adfm.200800058.Isotherm19;353;9995.39;1.37896
10.1002adfm.200800058.Isotherm19;353;10249.7;1.40384
10.1002adfm.200800058.Isotherm19;353;10504;1.42871
10.1002adfm.200800058.Isotherm19;353;10786.8;1.44522
10.1002adfm.200800058.Isotherm19;353;11069.5;1.46174
10.1002adfm.200800058.Isotherm19;353;11154.3;1.47003
10.1002adfm.200800058.Isotherm2;77;110.136;50
10.1002adfm.200800058.Isotherm2;77;144.077;65.4088
10.1002adfm.200800058.Isotherm2;77;345.647;56.9182
10.1002adfm.200800058.Isotherm2;77;592.24;68.8679
10.1002adfm.200800058.Isotherm2;77;1697.75;70.7547
10.1002adfm.200800058.Isotherm2;77;3460.62;71.0692
10.1002adfm.200800058.Isotherm2;77;5665.42;72.0126
10.1002adfm.200800058.Isotherm2;77;10512.1;72.327
10.1002adfm.200800058.Isotherm2;77;15138.5;72.6415
10.1002adfm.200800058.Isotherm2;77;20425.7;72.956
10.1002adfm.200800058.Isotherm2;77;30779.2;73.2704
10.1002adfm.200800058.Isotherm2;77;40252.9;74.2138
10.1002adfm.200800058.Isotherm2;77;51046.2;74.2138
10.1002adfm.200800058.Isotherm2;77;61399.7;74.5283
10.1002adfm.200800058.Isotherm2;77;71312.6;74.8428
10.1002adfm.200800058.Isotherm2;77;81447.2;75.7862
10.1002adfm.200800058.Isotherm2;77;91581.1;76.4151
10.1002adfm.200800058.Isotherm2;77;96651.5;78.3019
10.1002adfm.200800058.Isotherm2;77;98643.6;82.7044
10.1002adfm.200800058.Isotherm2;77;100639;88.3648
10.1002adfm.200800058.Isotherm2;77;101313;94.3396
10.1002adfm.200800058.Isotherm20;363;479.849;0.0748018
10.1002adfm.200800058.Isotherm20;363;902.782;0.166329
10.1002adfm.200800058.Isotherm20;363;1016.16;0.157913
10.1002adfm.200800058.Isotherm20;363;1270.31;0.191133
10.1002adfm.200800058.Isotherm20;363;1524.32;0.232697
10.1002adfm.200800058.Isotherm20;363;1778.47;0.265917
10.1002adfm.200800058.Isotherm20;363;2032.62;0.299136
10.1002adfm.200800058.Isotherm20;363;2286.78;0.332356
10.1002adfm.200800058.Isotherm20;363;2540.93;0.365576
10.1002adfm.200800058.Isotherm20;363;2795.08;0.398795
10.1002adfm.200800058.Isotherm20;363;3049.39;0.42367
10.1002adfm.200800058.Isotherm20;363;3303.54;0.45689
10.1002adfm.200800058.Isotherm20;363;3557.7;0.490109
10.1002adfm.200800058.Isotherm20;363;3812;0.514984
10.1002adfm.200800058.Isotherm20;363;4066.3;0.539859
10.1002adfm.200800058.Isotherm20;363;4320.61;0.564734
10.1002adfm.200800058.Isotherm20;363;4603.07;0.597936
10.1002adfm.200800058.Isotherm20;363;4857.53;0.614466
10.1002adfm.200800058.Isotherm20;363;5111.68;0.647686
10.1002adfm.200800058.Isotherm20;363;5365.98;0.67256
10.1002adfm.200800058.Isotherm20;363;5620.29;0.697435
10.1002adfm.200800058.Isotherm20;363;5902.9;0.722292
10.1002adfm.200800058.Isotherm20;363;6157.36;0.738823
10.1002adfm.200800058.Isotherm20;363;6411.51;0.772042
10.1002adfm.200800058.Isotherm20;363;6665.82;0.796917
10.1002adfm.200800058.Isotherm20;363;6948.43;0.821774
10.1002adfm.200800058.Isotherm20;363;7202.73;0.846649
10.1002adfm.200800058.Isotherm20;363;7315.66;0.863268
10.1002adfm.200800058.Isotherm20;363;7457.19;0.863179
10.1002adfm.200800058.Isotherm20;363;7711.49;0.888054
10.1002adfm.200800058.Isotherm20;363;7994.26;0.904566
10.1002adfm.200800058.Isotherm20;363;8248.71;0.921096
10.1002adfm.200800058.Isotherm20;363;8531.48;0.937609
10.1002adfm.200800058.Isotherm20;363;8644.55;0.945883
10.1002adfm.200800058.Isotherm20;363;8729.17;0.962519
10.1002adfm.200800058.Isotherm20;363;9012.08;0.970687
10.1002adfm.200800058.Isotherm20;363;9266.39;0.995562
10.1002adfm.200800058.Isotherm20;363;9549;1.02042
10.1002adfm.200800058.Isotherm20;363;9803.45;1.03695
10.1002adfm.200800058.Isotherm20;363;10057.9;1.05348
10.1002adfm.200800058.Isotherm20;363;10340.7;1.06999
10.1002adfm.200800058.Isotherm20;363;10623.4;1.0865
10.1002adfm.200800058.Isotherm20;363;10877.7;1.11138
10.1002adfm.200800058.Isotherm20;363;11132.2;1.12791
10.1002adfm.200800058.Isotherm20;363;11386.8;1.13609
10.1002adfm.200800058.Isotherm20;363;11641.1;1.16097
10.1002adfm.200800058.Isotherm20;363;11951.9;1.19415
10.1002adfm.200800058.Isotherm21;373;395.535;0.0414758
10.1002adfm.200800058.Isotherm21;373;903.842;0.107915
10.1002adfm.200800058.Isotherm21;373;1016.92;0.116189
10.1002adfm.200800058.Isotherm21;373;1299.68;0.132701
10.1002adfm.200800058.Isotherm21;373;1553.83;0.165921
10.1002adfm.200800058.Isotherm21;373;1807.99;0.199141
10.1002adfm.200800058.Isotherm21;373;2090.75;0.215653
10.1002adfm.200800058.Isotherm21;373;2175.37;0.232289
10.1002adfm.200800058.Isotherm21;373;2458.28;0.240457
10.1002adfm.200800058.Isotherm21;373;2712.43;0.273677
10.1002adfm.200800058.Isotherm21;373;2995.2;0.290189
10.1002adfm.200800058.Isotherm21;373;3249.5;0.315064
10.1002adfm.200800058.Isotherm21;373;3532.26;0.331576
10.1002adfm.200800058.Isotherm21;373;3758.26;0.356469
10.1002adfm.200800058.Isotherm21;373;4040.87;0.381326
10.1002adfm.200800058.Isotherm21;373;4295.18;0.406201
10.1002adfm.200800058.Isotherm21;373;4577.94;0.422713
10.1002adfm.200800058.Isotherm21;373;4888.71;0.455897
10.1002adfm.200800058.Isotherm21;373;5171.62;0.464065
10.1002adfm.200800058.Isotherm21;373;5425.93;0.48894
10.1002adfm.200800058.Isotherm21;373;5708.84;0.497108
10.1002adfm.200800058.Isotherm21;373;5963;0.530327
10.1002adfm.200800058.Isotherm21;373;6189.3;0.53853
10.1002adfm.200800058.Isotherm21;373;6472.06;0.555043
10.1002adfm.200800058.Isotherm21;373;6754.97;0.56321
10.1002adfm.200800058.Isotherm21;373;7009.43;0.57974
10.1002adfm.200800058.Isotherm21;373;7461.73;0.612836
10.1002adfm.200800058.Isotherm21;373;7744.49;0.629348
10.1002adfm.200800058.Isotherm21;373;7999.1;0.637534
10.1002adfm.200800058.Isotherm21;373;8281.86;0.654046
10.1002adfm.200800058.Isotherm21;373;8536.02;0.687266
10.1002adfm.200800058.Isotherm21;373;8762.47;0.687124
10.1002adfm.200800058.Isotherm21;373;9045.23;0.703636
10.1002adfm.200800058.Isotherm21;373;9299.69;0.720166
10.1002adfm.200800058.Isotherm21;373;9582.6;0.728334
10.1002adfm.200800058.Isotherm21;373;9836.91;0.753209
10.1002adfm.200800058.Isotherm21;373;10006.7;0.753103
10.1002adfm.200800058.Isotherm21;373;10289.7;0.76127
10.1002adfm.200800058.Isotherm21;373;10544.1;0.7778
10.1002adfm.200800058.Isotherm21;373;10826.9;0.794313
10.1002adfm.200800058.Isotherm21;373;11081.2;0.819187
10.1002adfm.200800058.Isotherm21;373;11279.5;0.810719
10.1002adfm.200800058.Isotherm21;373;11562.2;0.827231
10.1002adfm.200800058.Isotherm21;373;11816.9;0.835416
10.1002adfm.200800058.Isotherm21;373;11957.8;0.868707
10.1002adfm.200800058.Isotherm22;313;51.2778;0.758621
10.1002adfm.200800058.Isotherm22;313;89.7362;1.08758
10.1002adfm.200800058.Isotherm22;313;102.556;1.15472
10.1002adfm.200800058.Isotherm22;313;115.375;1.30912
10.1002adfm.200800058.Isotherm22;313;128.195;1.37626
10.1002adfm.200800058.Isotherm22;313;141.014;1.44339
10.1002adfm.200800058.Isotherm22;313;166.653;1.51053
10.1002adfm.200800058.Isotherm22;313;179.472;1.57766
10.1002adfm.200800058.Isotherm22;313;205.111;1.6448
10.1002adfm.200800058.Isotherm22;313;230.75;1.70522
10.1002adfm.200800058.Isotherm22;313;269.209;1.77235
10.1002adfm.200800058.Isotherm22;313;307.667;1.83277
10.1002adfm.200800058.Isotherm22;313;358.945;1.89991
10.1002adfm.200800058.Isotherm22;313;423.042;1.95362
10.1002adfm.200800058.Isotherm22;313;499.959;2.00732
10.1002adfm.200800058.Isotherm22;313;576.876;2.06103
10.1002adfm.200800058.Isotherm22;313;666.612;2.08789
10.1002adfm.200800058.Isotherm22;313;781.987;2.12145
10.1002adfm.200800058.Isotherm22;313;897.362;2.14831
10.1002adfm.200800058.Isotherm22;313;1025.56;2.16845
10.1002adfm.200800058.Isotherm22;313;1140.93;2.18859
10.1002adfm.200800058.Isotherm22;313;1230.67;2.20201
10.1002adfm.200800058.Isotherm22;313;1358.86;2.20873
10.1002adfm.200800058.Isotherm22;313;1474.24;2.22216
10.1002adfm.200800058.Isotherm22;313;1602.43;2.22887
10.1002adfm.200800058.Isotherm22;313;1730.63;2.2423
10.1002adfm.200800058.Isotherm22;313;1794.72;2.2423
10.1002adfm.200800058.Isotherm22;313;1922.92;2.24901
10.1002adfm.200800058.Isotherm22;313;2051.11;2.24901
10.1002adfm.200800058.Isotherm22;313;2179.31;2.25572
10.1002adfm.200800058.Isotherm22;313;2294.68;2.25572
10.1002adfm.200800058.Isotherm22;313;2358.78;2.26244
10.1002adfm.200800058.Isotherm22;313;2486.97;2.26915
10.1002adfm.200800058.Isotherm22;313;2615.17;2.26915
10.1002adfm.200800058.Isotherm22;313;2743.36;2.26915
10.1002adfm.200800058.Isotherm22;313;2871.56;2.26915
10.1002adfm.200800058.Isotherm22;313;2999.75;2.28258
10.1002adfm.200800058.Isotherm22;313;3127.95;2.28258
10.1002adfm.200800058.Isotherm22;313;3243.32;2.28929
10.1002adfm.200800058.Isotherm22;313;3371.52;2.28929
10.1002adfm.200800058.Isotherm22;313;3474.07;2.28929
10.1002adfm.200800058.Isotherm22;313;3602.27;2.28929
10.1002adfm.200800058.Isotherm22;313;3730.46;2.28929
10.1002adfm.200800058.Isotherm22;313;3858.66;2.28929
10.1002adfm.200800058.Isotherm22;313;3974.03;2.296
10.1002adfm.200800058.Isotherm22;313;4102.23;2.296
10.1002adfm.200800058.Isotherm22;313;4230.42;2.296
10.1002adfm.200800058.Isotherm22;313;4358.62;2.296
10.1002adfm.200800058.Isotherm22;313;4486.81;2.296
10.1002adfm.200800058.Isotherm22;313;4589.37;2.296
10.1002adfm.200800058.Isotherm22;313;4717.56;2.296
10.1002adfm.200800058.Isotherm22;313;4845.76;2.30272
10.1002adfm.200800058.Isotherm22;313;4973.95;2.30272
10.1002adfm.200800058.Isotherm22;313;5089.33;2.31614
10.1002adfm.200800058.Isotherm22;313;5191.88;2.30272
10.1002adfm.200800058.Isotherm22;313;5320.08;2.30943
10.1002adfm.200800058.Isotherm22;313;5435.45;2.31614
10.1002adfm.200800058.Isotherm23;323;115.375;0.939884
10.1002adfm.200800058.Isotherm23;323;128.195;1.00702
10.1002adfm.200800058.Isotherm23;323;141.014;1.07415
10.1002adfm.200800058.Isotherm23;323;153.834;1.14129
10.1002adfm.200800058.Isotherm23;323;166.653;1.20842
10.1002adfm.200800058.Isotherm23;323;192.292;1.27556
10.1002adfm.200800058.Isotherm23;323;205.111;1.34269
10.1002adfm.200800058.Isotherm23;323;230.75;1.40311
10.1002adfm.200800058.Isotherm23;323;256.389;1.47025
10.1002adfm.200800058.Isotherm23;323;294.848;1.53738
10.1002adfm.200800058.Isotherm23;323;333.306;1.5978
10.1002adfm.200800058.Isotherm23;323;384.584;1.66494
10.1002adfm.200800058.Isotherm23;323;423.042;1.72536
10.1002adfm.200800058.Isotherm23;323;487.139;1.78578
10.1002adfm.200800058.Isotherm23;323;551.237;1.83949
10.1002adfm.200800058.Isotherm23;323;640.973;1.89991
10.1002adfm.200800058.Isotherm23;323;679.431;1.89991
10.1002adfm.200800058.Isotherm23;323;756.348;1.9469
10.1002adfm.200800058.Isotherm23;323;858.904;1.98718
